date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:54:03	219/219	---M--	200	added ('OK')	text/plain	date:Mon,%2027%20Jan%202025%2017:25:23%20GMT	https://www.newedil.eu/robots.txt		(from )
00:54:03	47162/47162	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2014:20:35%20GMT	https://www.newedil.eu/	C:/My%20Web%20Sites/copy%20krlo/www.newedil.eu/index.html	(from )
00:54:03	7772/7772	---MCZ	200	added ('OK')	text/css	date:Thu,%2024%20Apr%202025%2014:20:37%20GMT	https://www.newedil.eu/css/normalize.css	C:/My%20Web%20Sites/copy%20krlo/www.newedil.eu/css/normalize.css	(from https://www.newedil.eu/)
00:54:03	38513/38513	---MCZ	200	added ('OK')	text/css	date:Thu,%2024%20Apr%202025%2014:20:36%20GMT	https://www.newedil.eu/css/components.css	C:/My%20Web%20Sites/copy%20krlo/www.newedil.eu/css/components.css	(from https://www.newedil.eu/)
00:54:03	186588/186588	---MCZ	200	added ('OK')	text/css	date:Thu,%2024%20Apr%202025%2014:20:36%20GMT	https://www.newedil.eu/css/new-edil.css	C:/My%20Web%20Sites/copy%20krlo/www.newedil.eu/css/new-edil.css	(from https://www.newedil.eu/)
00:54:03	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/copy%20krlo/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.newedil.eu/)
00:54:04	21364/21364	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2017%20Jun%202025%2019:24:16%20GMT	https://use.typekit.net/aue2bqc.js	C:/My%20Web%20Sites/copy%20krlo/use.typekit.net/aue2bqc.js	(from https://www.newedil.eu/)
00:54:04	418/418	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Mar%202025%2016:10:32%20GMT	https://www.newedil.eu/images/favicon.png	C:/My%20Web%20Sites/copy%20krlo/www.newedil.eu/images/favicon.png	(from https://www.newedil.eu/)
00:54:04	1738/1738	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Mar%202025%2016:10:37%20GMT	https://www.newedil.eu/images/webclip.png	C:/My%20Web%20Sites/copy%20krlo/www.newedil.eu/images/webclip.png	(from https://www.newedil.eu/)
00:54:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2017%20Jun%202025%2019:24:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/copy%20krlo/www.googletagmanager.com/gtm.75445.delayed	(from https://www.newedil.eu/)
00:54:05	98204/98204	---MCZ	200	added ('OK')	application/javascript	etag:W/%2217f9c-tB3GQNtSuWh0/AA9kGfH8OQBfRk%22	https://cdn.jsdelivr.net/npm/interactjs@latest/dist/interact.min.js	C:/My%20Web%20Sites/copy%20krlo/cdn.jsdelivr.net/npm/interactjs@latest/dist/interact.min.js	(from https://www.newedil.eu/)
00:54:06	37936/37936	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-9430%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.20.2/utils/Draggable.min.js	C:/My%20Web%20Sites/copy%20krlo/cdnjs.cloudflare.com/ajax/libs/gsap/1.20.2/utils/Draggable.min.js	(from https://www.newedil.eu/)
00:54:06	114220/114220	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e71-1be2c%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.20.2/TweenMax.min.js	C:/My%20Web%20Sites/copy%20krlo/cdnjs.cloudflare.com/ajax/libs/gsap/1.20.2/TweenMax.min.js	(from https://www.newedil.eu/)
00:54:07	27918/27918	---M-Z	200	added ('OK')	application/javascript	etag:%229380f6fc95d5e0eb6a2fc7ef654bdaaf-ssl-df%22	https://draggabilly.desandro.com/draggabilly.pkgd.js	C:/My%20Web%20Sites/copy%20krlo/draggabilly.desandro.com/draggabilly.pkgd.js	(from https://www.newedil.eu/)
